Property ID in AVL packet Property ID in AVL packet,Property Name Property Name,Bytes Bytes,Type Type,Value range Min,Value range Max,Units Units,Parameter Group Parameter Group
239,Ignition,1,Unsigned,0,1,-,Permanent I/O Elements
240,Movement,1,Unsigned,0,1,-,Permanent I/O elements
80,Data Mode,1,Unsigned,0,5,-,Permanent I/O Elements
21,GSM Signal,1,Unsigned,0,5,-,Permanent I/O Elements
200,Sleep Mode,1,Unsigned,0,4,-,Permanent I/O Elements
69,GNSS Status,1,Unsigned,0,3,-,Permanent I/O Elements
181,GNSS PDOP,2,Unsigned,0,500,,Permanent I/O Elements
182,GNSS HDOP,2,Unsigned,0,500,,Permanent I/O Elements
66,External Voltage,2,Unsigned,0,65535,V,Permanent I/O elements
24,Speed,2,Unsigned,0,350,km/h,Permanent I/O elements
205,GSM Cell ID,2,Unsigned,0,65535,-,Permanent I/O elements
206,GSM Area Code,2,Unsigned,0,65535,-,Permanent I/O elements
67,Battery Voltage,2,Unsigned,0,65535,V,Permanent I/O elements
68,Battery Current,2,Unsigned,0,65535,A,Permanent I/O elements
241,Active GSM Operator,4,Unsigned,0,4294967295,-,Permanent I/O elements
199,Trip Odometer,4,Unsigned,0,2147483647,m,Permanent I/O elements
16,Total Odometer,4,Unsigned,0,2147483647,-,Permanent I/O elements
1,Digital Input 1,1,Unsigned,0,1,-,Permanent I/O elements
9,Analog Input 1,2,Unsigned,0,65535,V,Permanent I/O elements
179,Digital Output 1,1,Unsigned,0,1,-,Permanent I/O elements
12,Fuel Used GPS,4,Unsigned,0,4294967295,l,Permanent I/O elements
13,Fuel Rate GPS,2,Unsigned,0,32767,l/100km,Permanent I/O elements
17,Axis X,2,Signed,-8000,8000,mG,Permanent I/O elements
18,Axis Y,2,Signed,-8000,8000,mG,Permanent I/O elements
19,Axis Z,2,Signed,-8000,8000,mG,Permanent I/O elements
11,ICCID1,8,Unsigned,0,0xffffffffffffffff,-,Permanent I/O elements
10,SD Status,1,Unsigned,0,1,-,Permanent I/O elements
2,Digital Input 2,1,Unsigned,0,1,-,Permanent I/O elements
3,Digital Input 3,1,Unsigned,0,1,-,Permanent I/O elements
6,Analog Input 2,2,Unsigned,0,65535,V,Permanent I/O elements
180,Digital Output 2,1,Unsigned,0,1,-,Permanent I/O elements
